x,y,z
0.1331294,0.4409226,5.163253
0.129477,0.4311417,5.180466
0.1279626,0.4316629,5.189344
0.1334512,0.4391454,5.196516
0.1493621,0.4439804,5.204456
0.1674352,0.4425185,5.215746
0.1844692,0.429718,5.230237
0.1890926,0.4175285,5.246351
0.1884778,0.406544,5.259398
0.1920052,0.4049299,5.26703
0.1978881,0.4086729,5.269502
0.2055106,0.4090778,5.274251
0.2162378,0.402308,5.279367
0.2279208,0.3879922,5.28681
0.2361865,0.3729803,5.29146
0.2378967,0.3650447,5.292672
0.2335584,0.3769551,5.29222
0.2132635,0.4006492,5.290309
0.1951976,0.4131027,5.289559
0.1871579,0.4144457,5.287582
0.1804068,0.4104663,5.289914
0.1812232,0.4109965,5.285846
0.1766429,0.4217637,5.280065
0.1687841,0.4379557,5.267451
0.1506326,0.4592507,5.249619
0.1305983,0.482815,5.22791
0.1058803,0.5091812,5.201055
0.08298063,0.5303938,5.174555
0.08204889,0.5288437,5.173953
0.07213569,0.5360201,5.161102
0.06319928,0.5420185,5.149218
0.03849745,0.5586577,5.115888
0.03322816,0.5678119,5.094603
0.03101492,0.5780931,5.072194
0.02429318,0.5875302,5.05023
0.0149498,0.5968314,5.024662
0.002408981,0.6075878,4.996655
-0.01271701,0.6198228,4.965722
-0.03403616,0.63332,4.933153
-0.05824804,0.6458669,4.900361
-0.08050537,0.656318,4.867935
-0.1054392,0.6620815,4.836741
-0.126852,0.6678788,4.806646
-0.1430205,0.6724014,4.781513
-0.1675574,0.6772001,4.744975
-0.1817893,0.6753009,4.726675
-0.1906649,0.6764839,4.711117
-0.1970814,0.6809296,4.699028
-0.1961547,0.68549,4.693154
-0.198613,0.6863814,4.691951
-0.2015816,0.6839079,4.693666
-0.2033759,0.6782861,4.700147
-0.2033283,0.6734136,4.705769
-0.2003695,0.6699256,4.712761
-0.1958629,0.6712161,4.715864
-0.1928722,0.678057,4.715041
-0.1887327,0.689813,4.711874
-0.1847388,0.6959583,4.711943
-0.1835617,0.6954512,4.714558
-0.1836623,0.6940913,4.717292
-0.1831971,0.699761,4.716648
-0.1772867,0.7158093,4.713183
-0.1670872,0.7352069,4.710238
-0.1595074,0.7444525,4.706156
-0.1608251,0.7408726,4.70605
-0.1645857,0.7310613,4.709951
-0.1707515,0.7167241,4.722543
-0.1698705,0.707078,4.735973
-0.1595839,0.70711,4.751298
-0.1341609,0.7178975,4.766398
-0.1164167,0.7215419,4.777153
-0.1078153,0.7202213,4.784759
-0.1088314,0.7079282,4.793663
-0.1109819,0.6922985,4.804714
-0.1091228,0.6787948,4.815518
-0.1035583,0.6740431,4.826726
-0.09084845,0.6790994,4.837367
-0.07387066,0.6910992,4.845183
-0.05776739,0.694419,4.852549
-0.0501132,0.6865978,4.86492
-0.04672289,0.6722743,4.877991
-0.0508914,0.6517747,4.896579
-0.04947972,0.6336607,4.912672
-0.03658867,0.627104,4.929348
-0.01551056,0.6270536,4.946435
0.01182461,0.6292616,4.962627
0.03854322,0.6277954,4.976947
0.06105208,0.618425,4.991401
0.07462168,0.597994,5.009208
0.08066177,0.5690351,5.028044
0.08062243,0.5365106,5.049609
0.07916093,0.5023881,5.066869
0.08716393,0.4819668,5.081452
0.1092274,0.4832837,5.096349
0.1360154,0.4936567,5.104684
0.1574578,0.4942253,5.117601
0.1761887,0.4875341,5.126362
0.186347,0.4678414,5.140736
0.1931627,0.4387909,5.155872
0.1943851,0.4077433,5.174257
0.193233,0.3773275,5.185021
0.1928816,0.3587223,5.191241
0.1983495,0.3481613,5.195436
0.2148399,0.3466,5.201335
0.2365761,0.3407547,5.209215
0.2563238,0.3342338,5.212862
0.2672372,0.3241495,5.21583
0.2657824,0.3124815,5.219527
0.2580976,0.3005012,5.22314
0.2497947,0.2912995,5.225948
0.2518088,0.2870944,5.229367
0.2650189,0.2872781,5.230917
0.2754619,0.2828636,5.232588
0.2742496,0.2713768,5.235789
0.2651038,0.2615923,5.239266
0.2579832,0.25705,5.240285
0.2551039,0.2580184,5.240059
0.2586441,0.2640405,5.238979
0.2623417,0.2717336,5.237657
0.2613928,0.2782705,5.236835
0.2507701,0.2862251,5.236445
0.2347333,0.296209,5.23423
0.2073543,0.3053269,5.22924
0.1748567,0.310338,5.222562
0.1430283,0.3169175,5.213375
0.1161392,0.325515,5.198723
0.106041,0.3412365,5.193961
0.0998292,0.377592,5.190971
0.113771,0.4188941,5.185459
0.124001,0.4554747,5.176253
0.1305251,0.4941258,5.148202
0.1220524,0.5085338,5.134709
0.1041164,0.5125125,5.125816
0.08165979,0.5200371,5.10896
0.0602932,0.529345,5.093537
0.04710364,0.5409198,5.076244
0.04275727,0.5551553,5.061571
0.04144263,0.5713475,5.044714
0.03457427,0.5878904,5.023479
0.01402473,0.603103,5.000587
-0.01026726,0.614244,4.977484
-0.03924584,0.6238299,4.952298
-0.07984781,0.638207,4.912433
-0.09541702,0.6502751,4.887968
-0.1052492,0.6658527,4.865307
-0.1094909,0.681068,4.842238
-0.1183343,0.690146,4.821638
-0.1311809,0.6932772,4.801515
-0.1487404,0.6945259,4.782135
-0.1686708,0.6920938,4.760991
-0.1815974,0.6945794,4.740964
-0.1828831,0.7047384,4.726965
-0.1834856,0.714022,4.712286
-0.1835467,0.7245733,4.696992
-0.1814796,0.7328268,4.681684
-0.182789,0.7353317,4.672493
-0.1878759,0.7349877,4.663602
-0.193992,0.7315717,4.658628
-0.1933714,0.7303622,4.655218
-0.1905242,0.73031,4.654191
-0.1861068,0.7288805,4.654511
-0.1847783,0.7256604,4.657032
-0.1851455,0.7226871,4.658485
-0.186287,0.719502,4.661025
-0.1919347,0.7101764,4.667513
-0.199355,0.7014542,4.672013
-0.1995631,0.6985326,4.672993
-0.1968204,0.6957207,4.672698
-0.1944023,0.6917694,4.67662
-0.187277,0.6899613,4.68788
-0.1778604,0.6872347,4.706931
-0.1732148,0.6791261,4.73209
-0.1728514,0.667311,4.756811
-0.1750985,0.6503968,4.783381
-0.1719104,0.6307736,4.818253
-0.1627651,0.6094339,4.859148
-0.1479253,0.5836931,4.907927
-0.1263103,0.5558829,4.956222
-0.09769726,0.5321003,4.99793
-0.05910945,0.5132685,5.02723
-0.02264643,0.4887517,5.052567
0.00518322,0.4604285,5.073919
0.02279186,0.4319809,5.092379
0.03145695,0.4067706,5.111067
0.03638339,0.385442,5.124371
0.0409627,0.3695263,5.1331
0.06093383,0.3672157,5.143275
0.09390235,0.3789182,5.149381
0.1223063,0.3834661,5.151945
0.1334186,0.3813278,5.153115
0.1219513,0.3600519,5.165739
0.1079443,0.3399723,5.176127
0.0930841,0.3280116,5.183104
0.09731269,0.328386,5.190295
0.1239932,0.3432859,5.199539
0.154402,0.3621374,5.202826
0.1699696,0.3683568,5.208097
0.1680665,0.3608182,5.214989
0.1561365,0.3486136,5.225798
0.1465006,0.3396173,5.231398
0.15538,0.3382979,5.239048
0.1771121,0.3505855,5.239056
0.1944568,0.3627406,5.235613
0.1913962,0.3605285,5.236978
0.1915498,0.3602801,5.239228
0.1784708,0.3469746,5.247995
0.1568229,0.3335992,5.253551
0.1380374,0.3252669,5.252724
0.1244457,0.3213922,5.250424
0.1261723,0.3267387,5.246746
0.1284235,0.3368544,5.243446
0.1206713,0.3476492,5.235777
0.1049557,0.356164,5.227335
0.08416653,0.3633984,5.21577
0.06399369,0.3687401,5.200724
0.04662204,0.3706127,5.183548
0.03689504,0.3740092,5.163043
0.03508806,0.3872085,5.152126
0.04988408,0.4122046,5.146048
0.06518078,0.4412437,5.139771
0.07852674,0.47133,5.124283
0.08324122,0.4967417,5.106895
0.08222532,0.5175076,5.086385
0.07536292,0.533877,5.065883
0.06178117,0.5465944,5.047462
0.04237843,0.5593435,5.025917
0.02385139,0.5702603,5.006373
0.009718418,0.5791457,4.987903
0.004032135,0.5897287,4.971069
-0.0007095337,0.6025806,4.954896
-0.006127119,0.618563,4.934019
-0.01248598,0.6330572,4.91407
-0.02078223,0.6438777,4.893122
-0.03297567,0.6489233,4.87464
-0.04680705,0.6492301,4.853993
-0.05638504,0.6531153,4.835607
-0.05510068,0.6649842,4.818923
-0.05303717,0.6797801,4.801035
-0.05303335,0.6960323,4.779193
-0.05226398,0.7088317,4.756318
-0.05285025,0.7186108,4.73724
-0.05388594,0.7250474,4.719687
-0.05318165,0.7321227,4.703911
-0.04391336,0.7440132,4.689343
-0.03063798,0.7559493,4.677722
-0.02298641,0.7630804,4.663787
-0.0282948,0.7603944,4.655352
-0.03345966,0.7566264,4.647524
-0.04058218,0.7474237,4.645547
-0.03971052,0.7425955,4.644387
-0.03401995,0.7422833,4.647211
-0.0211153,0.7454751,4.64937
-0.01929617,0.7458811,4.651893
-0.01336002,0.744845,4.653676
-0.008453369,0.7438737,4.654535
0.0006685257,0.7329922,4.663999
0.005921841,0.7217386,4.671185
0.01392913,0.7126318,4.678931
0.02698278,0.7089962,4.687375
0.05305195,0.7157364,4.698594
0.08369684,0.7225216,4.706194
0.1108661,0.7236101,4.715928
0.1351447,0.719204,4.727566
0.1526105,0.7085245,4.745802
0.1660054,0.6936185,4.768556
0.173075,0.6728185,4.798482
0.1775684,0.6485844,4.828423
0.1859722,0.6340142,4.849739
0.2015572,0.6336151,4.860347
0.2245488,0.6376343,4.862912
0.2501715,0.6353856,4.870978
0.2792404,0.6296123,4.881759
0.3027523,0.6182798,4.898867
0.3267088,0.5989798,4.91765
0.3436453,0.5742338,4.948993
0.3492945,0.5486392,4.985594
0.3463454,0.5412621,4.997705
0.3474821,0.5401317,5.002453
0.3542836,0.5367523,4.999683
0.3707569,0.5353478,5.006662
0.3951551,0.5251046,5.015223
0.4160769,0.5082343,5.035087
0.423575,0.4846073,5.061712
0.4233099,0.4627901,5.087137
0.418014,0.4473667,5.103954
0.4230161,0.4535668,5.107452
0.4350959,0.4595807,5.109006
0.4587622,0.4580637,5.111743
0.4785149,0.4490297,5.118971
0.4921836,0.4320021,5.13246
0.4946234,0.4117339,5.151209
0.4903698,0.3896618,5.168738
0.4854796,0.3704082,5.18038
0.4816242,0.3604355,5.186838
0.4851978,0.3630672,5.189528
0.5074255,0.3739703,5.186348
0.5298872,0.3765026,5.173534
0.5383373,0.3709541,5.170913
0.5347296,0.3674369,5.173616
0.5363727,0.3620632,5.173605
0.5333034,0.3543323,5.177392
0.5170206,0.3242478,5.187212
0.5013449,0.3061438,5.189312
0.4984801,0.305901,5.190585
0.4940549,0.3034827,5.190882
0.4897866,0.3035105,5.191394
0.4876494,0.328931,5.190708
0.4870524,0.361127,5.183778
0.4870051,0.3677259,5.180542
0.4811119,0.3827448,5.175429
0.4751421,0.39599,5.166448
0.4514921,0.4261184,5.141421
0.4309925,0.4382375,5.128874
0.4296045,0.4309624,5.131286
0.4160357,0.433353,5.129487
0.4026581,0.4367302,5.12628
0.3594499,0.4482804,5.108558
0.3277757,0.460471,5.092572
0.2981153,0.4722827,5.072733
0.2737374,0.4875316,5.053343
0.2532418,0.5016926,5.03618
0.235153,0.5155118,5.021409
0.2215338,0.5299814,5.008727
0.2104521,0.5436822,5.000086
0.2044902,0.5558222,4.999493
0.1972244,0.5613223,5.00125
0.1888678,0.5664862,4.994368
0.1877422,0.5864944,4.973182
0.1754708,0.6131139,4.936723
0.1471558,0.6357818,4.912622
0.1124792,0.6538373,4.888143
0.07560015,0.668806,4.866643
0.04531813,0.6796458,4.84398
0.01654053,0.6828868,4.82999
-0.005358696,0.6840504,4.820228
-0.01344872,0.693926,4.808095
-0.009483337,0.7139793,4.787988
-0.01574922,0.7271448,4.757788
-0.03314233,0.7300597,4.726642
-0.04497576,0.7298079,4.701612
-0.05732417,0.7252561,4.688934
-0.07256818,0.7226866,4.684741
-0.09082985,0.7220231,4.691605
-0.1066442,0.7212318,4.69515
-0.10391,0.7234344,4.693709
-0.1028574,0.7252226,4.685673
-0.1030793,0.7251843,4.674825
-0.1027927,0.7235268,4.647363
-0.1062126,0.7231548,4.632494
-0.1090801,0.7230672,4.63588
-0.1137762,0.7227479,4.633309
-0.1191602,0.7219434,4.630501
-0.127295,0.71967,4.632051
-0.13279,0.716852,4.632061
-0.1368018,0.7141193,4.630652
-0.13823,0.7108615,4.629998
-0.1366302,0.7074276,4.629509
